Work item ID,Work type,Summary,Description,Priority,Parent,Labels
2008,Story,[RF-MEM-02] Activar o renovar membresia,"RF: RF-MEM-02

Historia de usuario:
Como Recepcion, quiero activar o renovar membresia para controlar la vigencia del servicio.

Enunciado verificable:
El sistema deberá activar o renovar una membresía calculando las fechas de inicio y vencimiento a partir de un plan vigente y un pago confirmado.

Criterio de aceptación (BDD):
Dado un plan vigente y un pago confirmado, cuando Recepción active o renueve la membresía, entonces el sistema deberá calcular y guardar las fechas de inicio y vencimiento según la duración del plan.

Trazabilidad:
- Fuente: EV-ENTR01-02;EV-ENTR02-04;EV-ENTR03-01;EV-ENTR04-03
- Caso de uso: CU-07
- Caso de prueba: CP-07
- Componente: Membresías
- Estado de traza: Completa
- Estado en ERS: Aprobado en baseline v2.0
- Prioridad MoSCoW: Must",High,1003,fabrogym-pe5
2009,Story,[RF-MEM-03] Consultar vigencia,"RF: RF-MEM-03

Historia de usuario:
Como Personal autorizado, quiero consultar vigencia para controlar la vigencia del servicio.

Enunciado verificable:
El sistema deberá mostrar el estado, plan, fecha de inicio y fecha de vencimiento de la membresía.

Criterio de aceptación (BDD):
Dado un cliente con membresía registrada, cuando un usuario autorizado consulte su vigencia, entonces el sistema deberá mostrar estado, plan, fecha de inicio y fecha de vencimiento de la membresía seleccionada.

Trazabilidad:
- Fuente: EV-ENTR01-03;EV-ENTR02-03;EV-ENTR03-03;EV-ENTR08-02
- Caso de uso: CU-08
- Caso de prueba: CP-08
- Componente: Membresías
- Estado de traza: Completa
- Estado en ERS: Aprobado en baseline v2.0
- Prioridad MoSCoW: Must",High,1003,fabrogym-pe5
2010,Story,[RF-MEM-04] Alertar vencimientos,"RF: RF-MEM-04

Historia de usuario:
Como Recepcion, quiero alertar vencimientos para controlar la vigencia del servicio.

Enunciado verificable:
El sistema deberá listar diariamente las membresías que vencen en los próximos tres días y las membresías vencidas, sin enviar mensajes externos automáticamente.

Criterio de aceptación (BDD):
Dado que existen membresías próximas a vencer o vencidas, cuando se ejecute la consulta diaria, entonces el sistema deberá separar las que vencen dentro de tres días de las ya vencidas y no deberá enviar mensajes externos de forma automática.

Trazabilidad:
- Fuente: EV-ENTR01-03;EV-ENTR05-02;EV-ENTR07-02
- Caso de uso: CU-09
- Caso de prueba: CP-09
- Componente: Membresías
- Estado de traza: Completa
- Estado en ERS: Aprobado en baseline v2.0
- Prioridad MoSCoW: Must",High,1003,fabrogym-pe5
2011,Story,[RF-PAG-01] Registrar pago y comprobante,"RF: RF-PAG-01

Historia de usuario:
Como Recepcion, quiero registrar pago y comprobante para mantener pagos verificables.

Enunciado verificable:
El sistema deberá registrar monto, concepto, medio, referencia y fecha de un pago, y deberá generar un comprobante interno.

Criterio de aceptación (BDD):
Dado un pago con monto, concepto, medio, referencia y fecha válidos, cuando Recepción confirme el registro, entonces el sistema deberá guardar el pago y generar un comprobante interno vinculado al cliente.

Trazabilidad:
- Fuente: EV-ENTR01-02;EV-ENTR02-04;EV-ENTR03-04;EV-ENTR07-02;EV-ENTR08-03
- Caso de uso: CU-10
- Caso de prueba: CP-10
- Componente: Pagos
- Estado de traza: Completa
- Estado en ERS: Aprobado en baseline v2.0
- Prioridad MoSCoW: Must",High,1004,fabrogym-pe5
2012,Story,[RF-PAG-02] Resolver pago pendiente,"RF: RF-PAG-02

Historia de usuario:
Como Administrador, quiero resolver pago pendiente para mantener pagos verificables.

Enunciado verificable:
El sistema deberá permitir confirmar, rechazar o corregir un pago pendiente, conservando el motivo y el registro de auditoría.

Criterio de aceptación (BDD):
Dado un pago con estado pendiente, cuando un Administrador lo confirme, rechace o corrija, entonces el sistema deberá actualizar el estado y conservar el motivo y la evidencia de auditoría de la decisión.

Trazabilidad:
- Fuente: EV-ENTR02-04;EV-ENTR03-04;EV-ENTR07-07
- Caso de uso: CU-21
- Caso de prueba: CP-21
- Componente: Pagos
- Estado de traza: Completa
- Estado en ERS: Aprobado en baseline v2.0
- Prioridad MoSCoW: Should",Medium,1004,fabrogym-pe5
2013,Story,[RF-ASI-01] Registrar asistencia,"RF: RF-ASI-01

Historia de usuario:
Como Recepcion, quiero registrar asistencia para registrar el uso del gimnasio.

Enunciado verificable:
El sistema deberá registrar asistencia mediante código QR como flujo normal y deberá disponer de registro manual como contingencia autorizada, conservando método, responsable, fecha y motivo.

Criterio de aceptación (BDD):
Dado un cliente identificado, cuando Recepción registre la asistencia por QR, entonces el sistema deberá guardar fecha, hora y método QR; si se utiliza contingencia manual, deberá exigir responsable y motivo.

Trazabilidad:
- Fuente: EV-ENTR02-03;EV-ENTR03-03;EV-ENTR04-02;EV-ENTR07-07;EV-ENTR08-02
- Caso de uso: CU-11
- Caso de prueba: CP-11
- Componente: Asistencias
- Estado de traza: Completa
- Estado en ERS: Aprobado en baseline v2.0
- Prioridad MoSCoW: Must",High,1005,fabrogym-pe5
2014,Story,[RF-ASI-02] Consultar asistencia,"RF: RF-ASI-02

Historia de usuario:
Como Personal autorizado, quiero consultar asistencia para registrar el uso del gimnasio.

Enunciado verificable:
El sistema deberá filtrar asistencias por cliente, fecha y turno, y deberá mostrar los conteos operativos correspondientes.

Criterio de aceptación (BDD):
Dado un filtro por cliente, fecha o turno, cuando un usuario autorizado consulte asistencias, entonces el sistema deberá mostrar únicamente los registros que cumplan el filtro y los conteos correspondientes.

Trazabilidad:
- Fuente: EV-ENTR03-01;EV-ENTR07-01;EV-ENTR08-05;EV-ENTR09-06
- Caso de uso: CU-12
- Caso de prueba: CP-12
- Componente: Asistencias
- Estado de traza: Completa
- Estado en ERS: Aprobado en baseline v2.0
- Prioridad MoSCoW: Must",High,1005,fabrogym-pe5
2015,Story,[RF-INV-01] Administrar productos,"RF: RF-INV-01

Historia de usuario:
Como Administrador, quiero administrar productos para mantener existencias consistentes.

Enunciado verificable:
El sistema deberá registrar productos con código, nombre, precio, unidad, stock mínimo y estado.

Criterio de aceptación (BDD):
Dado un producto con código, nombre, precio, unidad, stock mínimo y estado válidos, cuando el Administrador confirme el registro, entonces el sistema deberá guardar el producto y permitir su consulta posterior.

Trazabilidad:
- Fuente: EV-ENTR01-01;EV-ENTR02-05
- Caso de uso: CU-13
- Caso de prueba: CP-13
- Componente: Inventario
- Estado de traza: Completa
- Estado en ERS: Aprobado en baseline v2.0
- Prioridad MoSCoW: Must",High,1006,fabrogym-pe5
2016,Story,[RF-INV-02] Registrar movimientos de stock,"RF: RF-INV-02

Historia de usuario:
Como Personal autorizado, quiero registrar movimientos de stock para mantener existencias consistentes.

Enunciado verificable:
El sistema deberá registrar entradas y ajustes de inventario con cantidad, motivo, responsable y saldo resultante.

Criterio de aceptación (BDD):
Dado un producto existente y un movimiento válido, cuando un usuario autorizado registre una entrada o ajuste, entonces el sistema deberá actualizar el saldo y conservar cantidad, motivo, responsable y saldo resultante.

Trazabilidad:
- Fuente: EV-ENTR01-04;EV-ENTR04-04;EV-ENTR07-03
- Caso de uso: CU-14
- Caso de prueba: CP-14
- Componente: Inventario
- Estado de traza: Completa
- Estado en ERS: Aprobado en baseline v2.0
- Prioridad MoSCoW: Must",High,1006,fabrogym-pe5
2017,Story,[RF-VEN-01] Registrar venta,"RF: RF-VEN-01

Historia de usuario:
Como Recepcion, quiero registrar venta para integrar venta, pago y stock.

Enunciado verificable:
El sistema deberá registrar una venta con sus ítems y medio de pago, y deberá descontar las existencias en la misma transacción.

Criterio de aceptación (BDD):
Dado que todos los ítems de una venta tienen stock suficiente, cuando Recepción confirme la venta, entonces el sistema deberá registrar la venta y descontar las existencias en una única transacción; si falla una operación, no deberá aplicar cambios parciales.

Trazabilidad:
- Fuente: EV-ENTR02-05;EV-ENTR03-01;EV-ENTR04-04;EV-ENTR07-03;EV-ENTR08-03
- Caso de uso: CU-15
- Caso de prueba: CP-15
- Componente: Ventas
- Estado de traza: Completa
- Estado en ERS: Aprobado en baseline v2.0
- Prioridad MoSCoW: Must",High,1007,fabrogym-pe5
2018,Story,[RF-INV-03] Alertar stock y rotacion,"RF: RF-INV-03

Historia de usuario:
Como Administrador, quiero alertar stock y rotacion para mantener existencias consistentes.

Enunciado verificable:
El sistema deberá listar los productos cuyo stock sea igual o inferior al stock mínimo y deberá resumir entradas, salidas y ventas por período.

Criterio de aceptación (BDD):
Dado un período de consulta, cuando el Administrador solicite el control de stock, entonces el sistema deberá listar los productos con stock igual o inferior al mínimo y resumir entradas, salidas y ventas del período.

Trazabilidad:
- Fuente: EV-ENTR01-04;EV-ENTR02-05;EV-ENTR05-04;EV-ENTR06-04
- Caso de uso: CU-22
- Caso de prueba: CP-22
- Componente: Inventario
- Estado de traza: Completa
- Estado en ERS: Aprobado en baseline v2.0
- Prioridad MoSCoW: Should",Medium,1006,fabrogym-pe5
2019,Story,[RF-CAJ-01] Cerrar turno y conciliar caja,"RF: RF-CAJ-01

Historia de usuario:
Como Recepcion, quiero cerrar turno y conciliar caja para cerrar el turno con diferencias visibles.

Enunciado verificable:
El sistema deberá calcular pagos y ventas por medio de pago, comparar los valores declarados y registrar las diferencias y la entrega de turno.

Criterio de aceptación (BDD):
Dado un turno con pagos y ventas registrados, cuando Recepción ejecute el cierre, entonces el sistema deberá totalizar por medio de pago, comparar contra los valores declarados y registrar cualquier diferencia junto con la entrega del turno.

Trazabilidad:
- Fuente: EV-ENTR02-01;EV-ENTR02-06;EV-ENTR03-05;EV-ENTR04-05;EV-ENTR07-03;EV-ENTR08-04
- Caso de uso: CU-16
- Caso de prueba: CP-16
- Componente: Caja
- Estado de traza: Completa
- Estado en ERS: Aprobado en baseline v2.0
- Prioridad MoSCoW: Must",High,1008,fabrogym-pe5
2020,Story,[RF-NOV-01] Gestionar novedades internas,"RF: RF-NOV-01

Historia de usuario:
Como Personal autorizado, quiero gestionar novedades internas para dar seguimiento a incidencias.

Enunciado verificable:
El sistema deberá crear una novedad con categoría, detalle mínimo, responsable, vencimiento y uno de los estados: pendiente, en proceso, resuelta o cancelada.

Criterio de aceptación (BDD):
Dado un usuario autorizado y una novedad con categoría, detalle, responsable y vencimiento, cuando la registre, entonces el sistema deberá crearla con un estado válido y conservar los cambios posteriores de estado.

Trazabilidad:
- Fuente: EV-ENTR02-01;EV-ENTR02-08;EV-ENTR03-07;EV-ENTR04-06;EV-ENTR05-01
- Caso de uso: CU-17
- Caso de prueba: CP-17
- Componente: Novedades
- Estado de traza: Completa
- Estado en ERS: Aprobado en baseline v2.0
- Prioridad MoSCoW: Must",High,1009,fabrogym-pe5
2021,Story,[RF-INS-01] Gestionar horario y disponibilidad de instructor,"RF: RF-INS-01

Historia de usuario:
Como Administrador, quiero gestionar horario y disponibilidad de instructor para coordinar la disponibilidad del personal.

Enunciado verificable:
El sistema deberá registrar turnos, capacidad, disponibilidad y novedades operativas del instructor, sin recopilar datos de salud.

Criterio de aceptación (BDD):
Dado un instructor registrado, cuando el Administrador actualice su operación, entonces el sistema deberá guardar turnos, capacidad, disponibilidad y novedades operativas sin solicitar datos de salud.

Trazabilidad:
- Fuente: EV-ENTR07-06;EV-ENTR09-03;EV-ENTR10-02
- Caso de uso: CU-23
- Caso de prueba: CP-23
- Componente: Instructores
- Estado de traza: Completa
- Estado en ERS: Aprobado en baseline v2.0
- Prioridad MoSCoW: Should",Medium,1010,fabrogym-pe5
2022,Story,[RF-RUT-01] Crear y asignar rutina,"RF: RF-RUT-01

Historia de usuario:
Como Instructor, quiero crear y asignar rutina para personalizar y consultar el entrenamiento.

Enunciado verificable:
El sistema deberá crear una rutina con objetivo operativo, ejercicios, series, repeticiones, descanso y días de ejecución, y deberá asignarla a un cliente autorizado.

Criterio de aceptación (BDD):
Dado un cliente autorizado y un catálogo de ejercicios disponible, cuando el Instructor cree una rutina, entonces el sistema deberá guardar objetivo operativo, ejercicios, series, repeticiones, descanso y días, y deberá asignarla al cliente seleccionado.

Trazabilidad:
- Fuente: EV-ENTR01-05;EV-ENTR05-04;EV-ENTR09-01;EV-ENTR09-02;EV-ENTR09-03
- Caso de uso: CU-18
- Caso de prueba: CP-18
- Componente: Rutinas
- Estado de traza: Completa
- Estado en ERS: Aprobado en baseline v2.0
- Prioridad MoSCoW: Must",High,1011,fabrogym-pe5
2023,Story,[RF-RUT-02] Versionar y ajustar rutina,"RF: RF-RUT-02

Historia de usuario:
Como Instructor, quiero versionar y ajustar rutina para personalizar y consultar el entrenamiento.

Enunciado verificable:
El sistema deberá crear una nueva versión cuando se modifiquen ejercicios o parámetros de una rutina y deberá conservar las versiones anteriores en modo de solo lectura.

Criterio de aceptación (BDD):
Dado una rutina existente, cuando el Instructor modifique ejercicios o parámetros y confirme el cambio, entonces el sistema deberá crear una nueva versión y mantener las versiones anteriores en solo lectura.

Trazabilidad:
- Fuente: EV-ENTR01-05;EV-ENTR09-01;EV-ENTR09-04;EV-ENTR10-01;EV-ENTR10-03
- Caso de uso: CU-19
- Caso de prueba: CP-19
- Componente: Rutinas
- Estado de traza: Completa
- Estado en ERS: Aprobado en baseline v2.0
- Prioridad MoSCoW: Must",High,1011,fabrogym-pe5
2024,Story,[RF-RUT-03] Registrar seguimiento operativo,"RF: RF-RUT-03

Historia de usuario:
Como Instructor, quiero registrar seguimiento operativo para personalizar y consultar el entrenamiento.

Enunciado verificable:
El sistema deberá registrar fecha, cumplimiento de ejercicios, repeticiones y observación operativa, excluyendo diagnósticos, lesiones, peso y medidas corporales reales.

Criterio de aceptación (BDD):
Dado una rutina activa, cuando el Instructor registre seguimiento, entonces el sistema deberá guardar fecha, cumplimiento, repeticiones y observación operativa y deberá rechazar campos destinados a diagnósticos, lesiones, peso o medidas corporales reales.

Trazabilidad:
- Fuente: EV-ENTR09-04;EV-ENTR09-05;EV-ENTR09-06;EV-ENTR10-03;EV-ENTR10-04
- Caso de uso: CU-24
- Caso de prueba: CP-24
- Componente: Rutinas
- Estado de traza: Completa
- Estado en ERS: Aprobado en baseline v2.0
- Prioridad MoSCoW: Should",Medium,1011,fabrogym-pe5
2025,Story,[RF-REP-01] Consultar panel y reportes,"RF: RF-REP-01

Historia de usuario:
Como Administrador, quiero consultar panel y reportes para tomar decisiones con información reproducible.

Enunciado verificable:
El sistema deberá mostrar indicadores filtrables de clientes, membresías, ventas, asistencias, uso y promociones por período, calculados exclusivamente con datos almacenados y exportables a CSV.

Criterio de aceptación (BDD):
Dado un período y filtros válidos, cuando el Administrador consulte el panel o reporte, entonces el sistema deberá calcular los indicadores con datos almacenados, mostrar los resultados filtrados y permitir exportarlos a CSV.

Trazabilidad:
- Fuente: EV-ENTR01-05;EV-ENTR05-05;EV-ENTR06-04;EV-ENTR07-04;EV-ENTR08-05;EV-ENTR09-05
- Caso de uso: CU-25
- Caso de prueba: CP-25
- Componente: Reportes
- Estado de traza: Completa
- Estado en ERS: Aprobado en baseline v2.0
- Prioridad MoSCoW: Should",Medium,1012,fabrogym-pe5
2026,Story,[RF-MEM-05] Consultar mi membresía,"RF: RF-MEM-05

Historia de usuario:
Como Cliente, quiero consultar mi membresía para controlar la vigencia del servicio.

Enunciado verificable:
El sistema deberá permitir al cliente autenticado consultar el estado, plan y vigencia de su propia membresía en modo de solo lectura.

Criterio de aceptación (BDD):
Dado un Cliente autenticado, cuando consulte su membresía, entonces el sistema deberá mostrar únicamente el estado, plan y vigencia de su propia membresía y no deberá habilitar edición.

Trazabilidad:
- Fuente: EV-VT-T02-12; MU-63
- Caso de uso: CU-26
- Caso de prueba: CP-26
- Componente: Membresías
- Estado de traza: Completa
- Estado en ERS: Aprobado en baseline v2.0
- Prioridad MoSCoW: Must",High,1003,fabrogym-pe5
2027,Story,[RF-PAG-03] Consultar mis pagos,"RF: RF-PAG-03

Historia de usuario:
Como Cliente, quiero consultar mis pagos para mantener pagos verificables.

Enunciado verificable:
El sistema deberá permitir al cliente autenticado consultar sus pagos registrados y el estado contextual de cada pago en modo de solo lectura.

Criterio de aceptación (BDD):
Dado un Cliente autenticado, cuando consulte sus pagos, entonces el sistema deberá mostrar únicamente sus registros de pago y el estado de cada uno en modo de solo lectura.

Trazabilidad:
- Fuente: EV-VT-T02-12
- Caso de uso: CU-27
- Caso de prueba: CP-27
- Componente: Pagos
- Estado de traza: Completa
- Estado en ERS: Aprobado en baseline v2.0
- Prioridad MoSCoW: Must",High,1004,fabrogym-pe5
2028,Story,[RF-RUT-04] Consultar mi rutina e historial,"RF: RF-RUT-04

Historia de usuario:
Como Cliente, quiero consultar mi rutina e historial para personalizar y consultar el entrenamiento.

Enunciado verificable:
El sistema deberá permitir al cliente autenticado consultar su rutina activa, sus versiones y el seguimiento operativo autorizado, sin modificar la rutina vigente.

Criterio de aceptación (BDD):
Dado un Cliente autenticado con una rutina asignada, cuando consulte su rutina, entonces el sistema deberá mostrar la versión activa, las versiones históricas y el seguimiento autorizado sin permitir modificar la rutina vigente.

Trazabilidad:
- Fuente: EV-VT-T01-06; EV-VT-T01-08; EV-VT-T02-04
- Caso de uso: CU-28
- Caso de prueba: CP-28
- Componente: Rutinas
- Estado de traza: Completa
- Estado en ERS: Aprobado en baseline v2.0
- Prioridad MoSCoW: Must",High,1011,fabrogym-pe5
2029,Story,[RF-INV-04] Gestionar categorías de productos,"RF: RF-INV-04

Historia de usuario:
Como Dueño, quiero gestionar categorías de productos para mantener existencias consistentes.

Enunciado verificable:
El sistema deberá permitir al usuario autorizado registrar, consultar, editar y desactivar categorías de productos.

Criterio de aceptación (BDD):
Dado un usuario autorizado, cuando registre, edite o desactive una categoría, entonces el sistema deberá guardar el cambio y reflejar el estado actualizado en las consultas de categorías.

Trazabilidad:
- Fuente: EV-VT-T03-06
- Caso de uso: CU-29
- Caso de prueba: CP-29
- Componente: Inventario
- Estado de traza: Completa
- Estado en ERS: Aprobado en baseline v2.0
- Prioridad MoSCoW: Should",Medium,1006,fabrogym-pe5
2030,Story,[RF-INV-05] Gestionar proveedores,"RF: RF-INV-05

Historia de usuario:
Como Dueño, quiero gestionar proveedores para mantener existencias consistentes.

Enunciado verificable:
El sistema deberá permitir al usuario autorizado registrar, consultar, editar y desactivar proveedores utilizados en inventario.

Criterio de aceptación (BDD):
Dado un usuario autorizado, cuando registre, edite o desactive un proveedor, entonces el sistema deberá guardar el cambio y reflejar el estado actualizado en las consultas de proveedores.

Trazabilidad:
- Fuente: EV-VT-T03-06; EV-VT-T01-10
- Caso de uso: CU-30
- Caso de prueba: CP-30
- Componente: Inventario
- Estado de traza: Completa
- Estado en ERS: Aprobado en baseline v2.0
- Prioridad MoSCoW: Should",Medium,1006,fabrogym-pe5
